codigo_stn,ano,estado,tipo_corpo_agua,ph_medio,oxigenio_dissolvido_medio,nitrato_medio_mg_l,coliformes_totais_medio,coliformes_fecais_medio,temperatura_media_c,condutividade_media,bod_medio_mg_l
4085,2022,JHARKHAND,RIVER,6.55,4.25,,,,20.5,,2.45
2396,2022,JHARKHAND,RIVER,7.55,6.550000000000001,,,,19.0,,2.55
2401,2022,JHARKHAND,RIVER,7.65,6.199999999999999,,,,26.5,206.0,1.4500000000000002
3554,2022,JHARKHAND,RIVER,7.449999999999999,7.6,,,,26.5,,2.25
2390,2022,JHARKHAND,RIVER,7.6,7.7,,,,24.5,,1.65
4000,2022,JHARKHAND,RIVER,7.35,7.0,,,,22.5,,2.9000000000000004
2381,2022,JHARKHAND,RIVER,7.3,7.699999999999999,,,,26.0,,2.2
1034,2022,JHARKHAND,RIVER,7.4,8.15,,,,19.5,,1.4500000000000002
2392,2022,JHARKHAND,RIVER,7.5,7.55,,,,19.5,,1.7999999999999998
3555,2022,JHARKHAND,RIVER,7.5,8.1,,,,25.5,,2.25
4083,2022,JHARKHAND,RIVER,7.3,7.6,,,,20.0,,2.25
3553,2022,JHARKHAND,RIVER,7.550000000000001,7.9,,,,22.25,,2.85
1510,2022,HIMACHAL PRADESH,RIVER,7.83,8.05,1.135,84.71127433818948,8.12403840463596,16.0,527.5,
30023,2022,UTTARAKHAND,RIVER,8.3,9.05,0.42,1013.4100848126586,289.8275349237888,18.75,224.0,
4027,2022,HIMACHAL PRADESH,RIVER,7.91,7.9,0.755,165.22711641858305,32.2490309931942,23.5,417.0,
4028,2022,HIMACHAL PRADESH,RIVER,8.02,7.8,0.775,190.78784028338916,31.84336665618132,23.5,481.0,
4427,2022,HIMACHAL PRADESH,RIVER,7.705,7.8,1.365,104.3072384832424,8.246211251235321,15.0,807.0,
2621,2022,HIMACHAL PRADESH,RIVER,7.92,7.75,6.565,203.9607805437114,56.56854249492381,12.0,413.5,
3876,2022,HIMACHAL PRADESH,RIVER,8.01,8.2,4.19,183.3030277982336,12.569805089976535,12.5,457.0,
2622,2022,HIMACHAL PRADESH,RIVER,8.045,7.55,0.585,82.46211251235322,20.71231517720798,23.5,694.5,
2623,2022,HIMACHAL PRADESH,RIVER,7.965,7.75,0.66,93.8083151964686,23.366642891095847,23.0,699.5,
3877,2022,HIMACHAL PRADESH,RIVER,7.755000000000001,7.65,1.595,149.66629547095766,12.489995996796797,16.0,830.5,
3878,2022,HIMACHAL PRADESH,RIVER,7.77,7.7,2.9450000000000003,164.92422502470643,15.588457268119896,15.5,830.5,
3860,2022,HIMACHAL PRADESH,RIVER,7.88,7.7,0.615,88.43076387773658,23.68543856465402,22.5,638.5,
1614,2022,MADHYA PRADESH,RIVER,7.605,8.55,6.66,204.939015319192,14.491376746189438,24.5,429.5,3.2
2107,2022,MADHYA PRADESH,RIVER,7.77,6.75,1.29,46.18441295502196,3.3466401061363023,26.0,383.0,1.4500000000000002
2108,2022,MADHYA PRADESH,RIVER,7.84,6.949999999999999,1.225,40.47221268969612,2.0,26.0,391.0,1.5
2124,2022,MADHYA PRADESH,RIVER,8.09,9.3,9.895,438.1780460041329,28.98275349237888,18.5,610.0,10.8
2125,2022,MADHYA PRADESH,RIVER,7.675,9.4,9.65,489.8979485566357,31.937438845342623,25.0,624.0,9.15
3832,2022,MADHYA PRADESH,RIVER,7.83,7.05,0.425,42.98837052040936,,26.0,365.5,1.6
30080,2022,MADHYA PRADESH,RIVER,7.985,9.05,1.11,59623.820743055374,6633.2495807108,27.0,392.0,2.45
2953,2022,RAJASTHAN,RIVER,8.22,4.65,1.725,128.4523257866513,52.64978632435273,27.5,599.0,1.7000000000000002
2956,2022,RAJASTHAN,RIVER,8.355,4.4,2.34,115.9310139695155,43.95452195167182,28.0,965.0,1.65
2951,2022,RAJASTHAN,RIVER,8.325,4.95,2.135,175.49928774784243,73.41661937191061,24.5,672.0,1.6
2952,2022,RAJASTHAN,RIVER,8.395,2.25,4.57,481.8713521262703,176.63521732655693,24.5,2479.0,4.35
2955,2022,RAJASTHAN,RIVER,7.74,5.8,2.315,242.4871130596428,112.24972160321823,24.0,506.0,2.35
3309,2022,MADHYA PRADESH,RIVER,7.655,7.050000000000001,1.64,277.1281292110204,74.29670248402684,26.0,1124.5,4.0
4349,2022,ANDHRA PRADESH,MARINE,7.9,6.2,0.85,75.8946638440411,4.58257569495584,25.5,35550.0,1.85
4352,2022,ANDHRA PRADESH,MARINE,8.1,5.9,0.6,90.49861877399012,5.744562646538029,26.5,44300.0,2.1
4357,2022,ANDHRA PRADESH,BEACH,8.1,5.9,0.725,76.48529270389177,6.48074069840786,27.0,43700.0,2.05
4361,2022,ANDHRA PRADESH,BEACH,8.15,6.2,0.87,84.8528137423857,7.745966692414834,26.5,28100.0,2.5
4362,2022,ANDHRA PRADESH,SEA,7.9,6.65,2.07,185.7417562100671,9.591663046625438,26.0,25580.5,3.05
4363,2022,ANDHRA PRADESH,SEA,7.649999999999999,6.6,2.585,171.58088471621772,7.937253933193772,25.0,23740.5,2.5
4371,2022,ANDHRA PRADESH,MARINE,8.1,6.55,0.7649999999999999,76.68115805072325,6.48074069840786,26.0,29400.0,1.65
4378,2022,ANDHRA PRADESH,BEACH,7.75,6.15,1.325,137.4772708486752,5.744562646538029,26.0,48350.0,2.6
4383,2022,ANDHRA PRADESH,MARINE,7.65,5.65,1.335,131.93938001976514,6.244997998398398,23.0,41100.0,2.6
4385,2022,ANDHRA PRADESH,BEACH,7.9,5.85,1.265,150.51910177781423,7.3484692283495345,24.0,45400.0,2.55
4386,2022,ANDHRA PRADESH,BEACH,7.85,6.050000000000001,1.19,125.49900398011133,5.477225575051661,23.5,44900.0,2.75
