codigo_stn,local_monitoramento,ano,tipo_corpo_agua,estado,temperatura_min_c,temperatura_max_c,oxigenio_dissolvido_min,oxigenio_dissolvido_max,ph_min,ph_max,condutividade_min,condutividade_max,bod_min_mg_l,bod_max_mg_l,nitrato_min_mg_l,nitrato_max_mg_l,coliformes_fecais_min,coliformes_fecais_max,coliformes_totais_min,coliformes_totais_max,fecal_min,fecal_max,temperatura_media_c,oxigenio_dissolvido_medio,ph_medio,condutividade_media,bod_medio_mg_l,nitrato_medio_mg_l,coliformes_fecais_medio,coliformes_totais_medio,fecal_medio
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",2022,RIVER,JHARKHAND,12.0,29.0,3.3,5.2,6.5,6.6,,,2.0,2.9,,,,,,,,,20.5,4.25,6.55,,2.45,,,,
2396,RIVER JUMAR AT KANKE DAM,2022,RIVER,JHARKHAND,12.0,26.0,5.9,7.2,7.5,7.6,,,1.9,3.2,,,,,,,,,19.0,6.550000000000001,7.55,,2.55,,,,
2401,RIVER AJAY AT MASANJORE DAM,2022,RIVER,JHARKHAND,17.0,36.0,5.8,6.6,7.5,7.8,94.0,318.0,1.3,1.6,,,,,,,,,26.5,6.199999999999999,7.65,206.0,1.4500000000000002,,,,
3554,"RIVER KONAR NEAR SWANG COAL WASHERY, BOKARO",2022,RIVER,JHARKHAND,19.0,34.0,7.4,7.8,7.3,7.6,,,1.8,2.7,,,,,,,,,26.5,7.6,7.449999999999999,,2.25,,,,
2390,RIVER KONAR AT TENUGHAT DAM,2022,RIVER,JHARKHAND,16.0,33.0,7.4,8.0,7.4,7.8,,,1.3,2.0,,,,,,,,,24.5,7.7,7.6,,1.65,,,,
4000,RIVER GARGA NEAR TELMUCHO BRIDGE,2022,RIVER,JHARKHAND,15.0,30.0,6.5,7.5,7.2,7.5,,,2.2,3.6,,,,,,,,,22.5,7.0,7.35,,2.9000000000000004,,,,
2381,RIVER BOKARO AT ZARANGDIH BRIDGE,2022,RIVER,JHARKHAND,18.5,33.5,7.3,8.1,7.0,7.6,,,1.6,2.8,,,,,,,,,26.0,7.699999999999999,7.3,,2.2,,,,
1034,"RIVER SANKH AT BOLBA, JHARKHAND",2022,RIVER,JHARKHAND,12.0,27.0,7.8,8.5,7.3,7.5,,,1.1,1.8,,,,,,,,,19.5,8.15,7.4,,1.4500000000000002,,,,
2392,RIVER BARAKAR AT MAITHAN DAM,2022,RIVER,JHARKHAND,13.0,26.0,7.3,7.8,7.4,7.6,,,1.3,2.3,,,,,,,,,19.5,7.55,7.5,,1.7999999999999998,,,,
3555,"RIVER DAMODAR NEAR ZARANGDIH BRIDGE, BOKARO",2022,RIVER,JHARKHAND,18.0,33.0,7.5,8.7,7.4,7.6,,,1.8,2.7,,,,,,,,,25.5,8.1,7.5,,2.25,,,,
